"","River","Latitude","Longitude","pastTemp","FutTemp","CurTemp.bio1","CurTemp.bio2","CurTemp.bio3","CurTemp.bio4","CurTemp.bio5","CurTemp.bio6","CurTemp.bio7","CurTemp.bio8","CurTemp.bio9","CurTemp.bio10","CurTemp.bio11","CurTemp.bio12","CurTemp.bio13","CurTemp.bio14","CurTemp.bio15","CurTemp.bio16","CurTemp.bio17","CurTemp.bio18","CurTemp.bio19"
"26","Dolland Brook",47.75,-52.75, 7.00556429,6.4,   4.8,   7.1,   2.6, 676.6,  18.8,  -8.3,  27.1,  -0.8,  10.1,  13.8,  -3.6, 127.1,  12.6,   8.6,   1.3,  36.2,  27.7,  29.7,  33.8
"27","Garndy’s Bay of Islands",47.75,-57.75, 6.36364079,5.6,   3.8,   6.1,   2.2, 710.0,  17.9,  -9.7,  27.6,  -1.9,   0.6,  13.2,  -5.1, 146.5,  15.5,  10.2,   1.4,  44.5,  31.5,  34.2,  35.8
"28","Grandys Brook",47.75,-57.75, 6.36364079,5.6,   3.8,   6.1,   2.2, 710.0,  17.9,  -9.7,  27.6,  -1.9,   0.6,  13.2,  -5.1, 146.5,  15.5,  10.2,   1.4,  44.5,  31.5,  34.2,  35.8
"29","Grey River",47.75,-52.75, 7.00556429,6.3,   4.7,   7.3,   2.6, 679.5,  19.0,  -8.3,  27.3,  -0.9,  10.1,  13.7,  -3.7, 131.9,  13.0,   8.3,   1.4,  38.5,  27.1,  29.9,  35.8
"30","Isle aux Morte",47.75,-58.75, 6.48498414,5.6,   3.8,   6.1,   2.2, 710.0,  17.9,  -9.7,  27.6,  -1.9,   0.6,  13.2,  -5.1, 146.5,  15.5,  10.2,   1.4,  44.5,  31.5,  34.2,  35.8
"31","La Poile River",47.75,-52.75, 7.00556429,6.3,   4.7,   7.3,   2.6, 679.5,  19.0,  -8.3,  27.3,  -0.9,  10.1,  13.7,  -3.7, 131.9,  13.0,   8.3,   1.4,  38.5,  27.1,  29.9,  35.8
"32","White Bear River",47.75,-52.75, 7.00556429,6.3,   4.7,   7.3,   2.6, 682.5,  19.2,  -8.3,  27.5,  -0.9,  10.1,  13.7,  -3.8, 134.4,  13.3,   8.1,   1.6,  39.8,  26.6,  29.9,  37.1
"33","Pipers Hole",47.75,-52.75, 7.00556429,6.0,   4.4,   7.3,   2.6, 690.2,  19.2,  -8.6,  27.8,  -1.2,  10.0,  13.6,  -4.1, 131.8,  13.0,   7.9,   1.6,  38.8,  26.1,  29.4,  36.4
"34","Badger Brook",48.75,-55.75, 4.96667274,5.9,   3.9,  10.1,   2.8, 838.8,  22.7, -13.0,  35.7,   0.8,   6.7,  14.7,  -6.7, 109.6,  10.6,   7.1,   1.2,  30.9,  23.2,  27.6,  28.4
"35","Junction Brook",48.75,-55.75, 4.96667274,5.9,   3.9,  10.1,   2.8, 838.8,  22.7, -13.0,  35.7,   0.8,   6.7,  14.7,  -6.7, 109.6,  10.6,   7.1,   1.2,  30.9,  23.2,  27.6,  28.4
"36","Little Junction",48.75,-55.75, 4.96667274,5.9,   3.9,  10.1,   2.8, 838.8,  22.7, -13.0,  35.7,   0.8,   6.7,  14.7,  -6.7, 109.6,  10.6,   7.1,   1.2,  30.9,  23.2,  27.6,  28.4
"37","Exploits Rocky Brook",49.75,-54.75, 5.09768683,6.5,   4.5,   9.8,   2.7, 843.4,  23.4, -12.1,  35.5,  11.3,   7.4,  15.4,  -6.1, 102.4,  10.3,   7.1,   1.1,  29.1,  22.6,  26.0,  25.9
"38","Dead Water Brook",49.75,-56.75, 4.05797564,5.5,   3.4,   9.1,   2.6, 827.7,  21.2, -13.2,  34.4,   0.6,   0.7,  14.1,  -6.9, 105.6,  10.8,   5.9,   1.7,  31.3,  20.0,  27.3,  25.3
"39","Lomond",49.75,-56.75, 4.05797564,5.2,   3.1,   8.2,   2.4, 824.2,  20.2, -13.2,  33.4,  -3.9,   0.3,  13.7,  -7.3, 114.4,  12.0,   6.2,   1.8,  34.7,  21.4,  28.9,  27.7
"40","Taylors Brook",49.75,-56.75, 4.05797564,4.9,   2.8,   8.9,   2.5, 831.6,  20.4, -13.9,  34.3,  -0.1,   0.0,  13.5,  -7.6, 107.4,  10.9,   6.1,   1.7,  31.4,  20.7,  28.0,  25.7
"41","Campbellton",49.75,-53.75, 5.63730606,6.1,   4.2,   9.3,   2.7, 816.2,  22.3, -11.8,  34.1,  11.1,  11.8,  14.8,  -6.0, 107.6,  10.3,   7.6,   1.0,  29.4,  23.3,  25.7,  28.2
"42","Soulis Brook",48.75,-53.75, 6.13263890,6.2,   4.4,   8.9,   2.7, 774.2,  21.6, -10.7,  32.3,  -2.4,  11.4,  14.4,  -5.2, 109.9,  10.7,   7.2,   1.2,  30.7,  22.7,  25.2,  30.4
"43","Indian Arm Brook",49.75,-53.75, 5.63730606,6.1,   4.2,   9.3,   2.7, 816.2,  22.3, -11.8,  34.1,  11.1,  11.8,  14.8,  -6.0, 107.6,  10.3,   7.6,   1.0,  29.4,  23.3,  25.7,  28.2
"44","Indian Bay Brook",49.75,-52.75, 6.00000408,6.0,   4.2,   8.0,   2.6, 748.7,  20.5, -10.1,  30.6,  -2.2,  10.7,  13.9,  -5.1, 104.0,  10.3,   6.9,   1.3,  29.1,  21.6,  25.7,  28.4
"45","Salmon River (Gander)",48.75,-53.75, 6.13263890,6.4,   4.5,   9.4,   2.7, 806.1,  22.4, -11.3,  33.7,   1.5,  12.0,  14.9,  -5.6, 110.8,  10.6,   7.6,   1.1,  30.4,  23.7,  26.1,  29.6
"46","Terra Nova",48.75,-53.75, 6.13263890,6.4,   4.7,   8.0,   2.6, 734.8,  20.5,  -9.5,  30.0,  -1.6,  10.9,  14.3,  -4.4, 107.0,  10.6,   7.0,   1.3,  30.1,  22.2,  25.6,  29.3
"47","Bay du Nord River",47.75,-54.75, 6.55067163,6.3,   4.5,   8.4,   2.8, 728.5,  19.8,  -9.9,  29.7,   2.2,  10.7,  13.9,  -4.6, 147.8,  14.7,  10.0,   1.3,  43.2,  31.5,  34.1,  41.0
"48","Long Harbour River",47.75,-53.75, 6.75593241,6.1,   4.4,   7.8,   2.7, 710.0,  19.2,  -9.4,  28.6,   2.2,  10.3,  13.6,  -4.5, 139.4,  13.3,   9.5,   1.1,  39.6,  30.5,  32.7,  36.5
"49","Southwest Brook",53.75,-56.75, 2.32736609,1.6,  -0.6,   8.0,   2.3, 852.7,  16.1, -17.9,  34.0,   9.9,   2.2,   9.9, -11.9,  99.9,   9.6,   6.4,   1.1,  27.7,  22.7,  27.7,  23.7
"50","Great Rattling Brook",48.75,-54.75, 5.62479911,6.5,   4.6,   9.8,   2.7, 844.7,  23.4, -12.0,  35.4,  11.4,   7.5,  15.5,  -6.1, 106.3,  10.3,   7.2,   1.1,  29.3,  23.2,  26.7,  27.5
"51","Alexis",52.75,-55.75, 3.30824820,1.8,  -0.2,   7.3,   2.3, 796.3,  14.7, -16.4,  31.1,  -7.4,   2.1,   9.7, -10.7, 105.4,   9.9,   6.7,   1.0,  27.8,  23.8,  27.6,  26.1
